Timestamp,温度,压力,湿度,面密度
2026-06-05 10:22:31,60.78,38.75,5.19,84.58
2026-06-05 10:23:31,9.49,32.7,99.29,15.47
2026-06-05 10:24:31,66.14,3.56,43.4,54.38
2026-06-05 10:25:31,87.46,27.35,7.18,97.93
2026-06-05 10:26:31,80.38,6.82,94.66,65.82
2026-06-05 10:27:31,40.44,89.42,95.29,8.17
2026-06-05 10:28:31,11.12,9.94,46.48,30.71
2026-06-05 10:29:31,85.83,9.12,33.36,8.82
2026-06-05 10:30:31,83.57,41.28,95.84,76.23
2026-06-05 10:31:31,8.2,45.86,88.07,69.13
2026-06-05 10:32:31,32.24,86.75,73.69,62.08
2026-06-05 10:33:31,1.65,34.04,60.48,81.84
2026-06-05 10:34:31,55.45,6.94,8.91,75.23
2026-06-05 10:35:31,89.49,0.08,56.36,59.3
2026-06-05 10:36:31,31.84,34.41,99.28,52.59
2026-06-05 10:37:31,5.43,54.51,29.18,9.82
2026-06-05 10:38:31,18.77,13.49,51.0,29.66
2026-06-05 10:39:31,58.45,9.72,0.8,46.77
2026-06-05 10:40:31,89.21,74.75,93.22,17.83
2026-06-05 10:41:31,64.76,68.32,26.13,87.12
2026-06-05 10:42:31,39.74,2.79,31.29,52.42
2026-06-05 10:43:31,16.14,22.14,15.78,30.73
2026-06-05 10:44:31,57.92,82.17,77.05,48.13
2026-06-05 10:45:31,63.3,73.15,9.42,87.58
2026-06-05 10:46:31,15.79,58.28,77.43,8.11
2026-06-05 10:47:31,26.05,63.01,21.09,35.95
2026-06-05 10:48:31,26.37,37.47,25.13,10.68
2026-06-05 10:49:31,47.14,49.15,57.52,4.99
2026-06-05 10:50:31,27.13,44.26,29.55,31.49
2026-06-05 10:51:31,32.36,4.84,38.18,60.02
2026-06-05 10:52:31,32.44,32.44,93.18,47.94
2026-06-05 10:53:31,15.19,54.46,49.17,35.3
2026-06-05 10:54:31,73.8,16.49,64.15,86.41
2026-06-05 10:55:31,24.17,69.78,65.07,73.6
2026-06-05 10:56:31,59.21,78.85,71.44,47.16
2026-06-05 10:57:31,56.1,95.53,55.61,11.24
2026-06-05 10:58:31,36.86,11.66,3.01,65.74
2026-06-05 10:59:31,37.73,82.31,62.06,4.44
2026-06-05 11:00:31,60.14,92.78,40.95,90.3
2026-06-05 11:01:31,91.34,3.25,73.5,24.66
2026-06-05 11:02:31,54.24,86.92,69.42,62.97
2026-06-05 11:03:31,29.34,42.89,56.17,55.35
2026-06-05 11:04:31,65.33,67.11,54.29,66.38
2026-06-05 11:05:31,43.73,71.54,42.65,45.24
